"PC","variance_explained"
"PC1",0.531750584494581
"PC2",0.11751687239617
"PC3",0.0483900463084022
"PC4",0.0364582026672567
"PC5",0.0265333288148781
"PC6",0.0207973228316161
"PC7",0.0170982196581238
"PC8",0.014595375841217
"PC9",0.0135797405479694
"PC10",0.0124146862953162
